"X1","account_id","post_id","Category","Page","Post.URL","Date.Published","Post.Type","Rating","Debate","share_count","reaction_count","comment_count","share_count_ln","comment_count_ln"
2,184096565021911,1035269309904628,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628",2016-09-19,"link","mostly true",NA,1,33,34,0,3.55534806148941
3,184096565021911,1035305953234297,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297",2016-09-19,"link","mostly true",NA,34,63,27,3.52636052461616,3.3322045101752
4,184096565021911,1035322636565962,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962",2016-09-19,"link","mostly true",NA,35,170,86,3.55534806148941,4.46590811865458
5,184096565021911,1035352946562931,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035352946562931",2016-09-19,"video","mostly true",NA,568,3188,2815,6.34212141872115,7.94307271727793
6,184096565021911,1035366579894901,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035366579894901",2016-09-19,"link","mostly true",NA,23,28,21,3.13549421592915,3.09104245335832
7,184096565021911,1035411183223774,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035411183223774",2016-09-19,"video","mostly true",NA,46,409,105,3.8286413964891,4.66343909411207
8,184096565021911,1035430716555154,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035430716555154",2016-09-19,"link","mostly true",NA,7,62,64,1.94591014905531,4.17438726989564
9,184096565021911,1035451683219724,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035451683219724",2016-09-19,"link","mostly true",NA,7,39,6,1.94591014905531,1.94591014905531
10,184096565021911,1035453279886231,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035453279886231",2016-09-19,"video","mostly true",NA,152,278,59,5.02388052084628,4.0943445622221
11,184096565021911,1035456253219267,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035456253219267",2016-09-19,"link","mostly true",NA,8,29,14,2.07944154167984,2.70805020110221
13,184096565021911,1035491416549084,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035491416549084",2016-09-19,"video","mostly true",NA,37,507,164,3.61091791264422,5.10594547390058
14,184096565021911,1035503133214579,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035503133214579",2016-09-19,"link","mostly true",NA,4,23,2,1.38629436111989,1.09861228866811
15,184096565021911,1035527713212121,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035527713212121",2016-09-19,"video","mostly true",NA,10,85,29,2.30258509299405,3.40119738166216
16,184096565021911,1035532526544973,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035532526544973",2016-09-19,"link","mostly true",NA,10,41,14,2.30258509299405,2.70805020110221
